frequency_cycles_per_sample,periodogram_db,capon_db,ar_db
0.02880859375,-18.1928807491733,-13.491372611751274,-20.380171687715727
0.029052734375,-18.042352822464714,-13.494823867910274,-20.36407946002242
0.029296875,-17.945219253372308,-13.498653397111562,-20.347432568481008
0.029541015625,-17.894046657446886,-13.50286081101931,-20.33024004245568
0.02978515625,-17.88017483347647,-13.50744519311701,-20.3125114357028
0.030029296875,-17.893841415642157,-13.5124050954909,-20.2942568359191
0.0302734375,-17.9245451847852,-13.517738536847272,-20.27548687439705
0.030517578125,-17.961721974107718,-13.523443001774151,-20.256212735747432
0.03076171875,-17.9957354343836,-13.529515441252329,-20.23644616764573
0.031005859375,-18.019066610219358,-13.535952274415223,-20.216199490555177
0.03125,-18.02745824230731,-13.542749391551581,-20.19548560737496
0.031494140625,-18.020705267355755,-13.54990215833952,-20.174318012958455
0.03173828125,-18.00284783763992,-13.557405421295158,-20.15271080344145
0.031982421875,-17.981712005105702,-13.565253514413808,-20.130678685316283
0.0322265625,-17.967962945994838,-13.573440266976695,-20.108236984182916
0.032470703125,-17.973969715829178,-13.581959012491374,-20.085401653103276
0.03271484375,-18.012776982692223,-13.590802598729415,-20.062189280480325
0.032958984375,-18.097375375541713,-13.599963398820599,-20.038617097378477
0.033203125,-18.240336139674135,-13.609433323359003,-20.014702984196624
0.033447265625,-18.453786624568856,-13.619203833472502,-19.990465476600633
0.03369140625,-18.749668608925422,-13.62926595480408,-19.96592377061647
0.033935546875,-19.140231630450316,-13.63961029235029,-19.94109772678095
0.0341796875,-19.63875226389419,-13.65022704609971,-19.916007873241536
0.034423828125,-20.260529624948752,-13.661106027412014,-19.890675407692775
0.03466796875,-21.024293624117117,-13.672236676076556,-19.86512219803213
0.034912109375,-21.954302393358965,-13.683608077988005,-19.839370781614022
0.03515625,-23.083660928012254,-13.695208983375505,-19.813444362977425
0.035400390625,-24.459897369802334,-13.707027825521399,-19.787366809919064
0.03564453125,-26.154845590488456,-13.719052739905248,-19.7611626477818
0.035888671875,-28.282610927374918,-13.731271583709104,-19.734857051825767
0.0361328125,-31.0283057087549,-13.743671955620515,-19.708475837548875
0.036376953125,-34.62961986585393,-13.756241215870668,-19.682045448822773
0.03662109375,-38.45957670728284,-13.768966506446214,-19.655592943711508
0.036865234375,-37.92721759726799,-13.781834771414836,-19.62914597784144
0.037109375,-34.366711787058804,-13.79483277730646,-19.60273278519447
0.037353515625,-31.46199068823549,-13.807947133493936,-19.576382156200737
0.03759765625,-29.358787976917583,-13.821164312519361,-19.55012341301278
0.037841796875,-27.8172689512383,-13.834470670314632,-19.523986381850534
0.0380859375,-26.67388916462603,-13.847852466267472,-19.49800136231551
0.038330078125,-25.82852895822931,-13.861295883086884,-19.472199093583068
0.03857421875,-25.218165499559895,-13.87478704642501,-19.44661071739433
0.038818359375,-24.80160370227701,-13.888312044215246,-19.42126773778353
0.0390625,-24.551180421167373,-13.90185694568957,-19.396201977492847
0.039306640625,-24.448161496453857,-13.915407820041194,-19.37144553104496
0.03955078125,-24.480125079102443,-13.928950754701692,-19.347030714463575
0.039794921875,-24.639476426048898,-13.942471873204944,-19.32299001165438
0.0400390625,-24.922663284030854,-13.955957352613357,-19.299356017482204
0.040283203125,-25.329879801138162,-13.969393440484799,-19.276161377606243
0.04052734375,-25.865170205949358,-13.982766471361812,-19.253438725161846
0.040771484375,-26.536921351400512,-13.996062882767506,-19.231220614406254
0.041015625,-27.358780938528486,-14.009269230695441,-19.20953945147506
0.041259765625,-28.351025359248187,-14.022372204583473,-19.188427422427313
0.04150390625,-29.54215798431148,-14.03535864176429,-19.16791641878813
0.041748046875,-30.969329795723812,-14.048215541387734,-19.148037960829697
0.0419921875,-32.67103864092457,-14.060930077812465,-19.128823118863178
0.042236328125,-34.64421162834165,-14.073489613466773,-19.110302432845213
0.04248046875,-36.66548959578664,-14.085881711180345,-19.09250583063342
0.042724609375,-37.87580972772128,-14.098094145990892,-19.075462545254155
0.04296875,-37.21945154638754,-14.110114916431172,-19.059201031573252
0.043212890625,-35.26840468297815,-14.121932255303783,-19.04374888278593
0.04345703125,-33.13289118297337,-14.133534639952432,-19.02913274716395
0.043701171875,-31.222678161633823,-14.144910802039872,-19.015378245517844
0.0439453125,-29.587994089739244,-14.156049736843821,-19.00250988984747
0.044189453125,-28.1952696588786,-14.166940712083314,-18.99055100366557
0.04443359375,-27.00324278470505,-14.17757327628877,-18.97952364448651
0.044677734375,-25.97804713688189,-14.187937266729955,-18.969448528974503
0.044921875,-25.094221145906232,-14.198022816916549,-18.960344961243024
0.045166015625,-24.333057596414314,-14.207820363686656,-18.952230764789316
0.04541015625,-23.68085041108536,-14.217320653898932,-18.94512221853466
0.045654296875,-23.127509894362156,-14.226514750744295,-18.93903399742244
0.0458984375,-22.665549075362637,-14.235394039693347,-18.93397911800223
0.046142578125,-22.289361060331,-14.24395023409575,-18.929968889398733
0.04638671875,-21.994712024933897,-14.252175380447625,-18.92701287003071
0.046630859375,-21.778393941677983,-14.26006186334308,-18.925118830406063
0.046875,-21.637998955764594,-14.267602410125555,-18.924292722276455
0.047119140625,-21.57179103841377,-14.274790095254545,-18.924538654388154
0.04736328125,-21.578660796728517,-14.281618344402666,-18.925858875016196
0.047607421875,-21.658157155358843,-14.288080938297721,-18.928253761416634
0.0478515625,-21.81059600803671,-14.294172016323811,-18.931721816277477
0.048095703125,-22.03725182675498,-14.299886079894923,-18.936259671193994
0.04833984375,-22.340644878068954,-14.30521799561373,-18.94186209713834
0.048583984375,-22.72494618249327,-14.310162998227723,-18.948522021838613
0.048828125,-23.19653828738889,-14.314716693393875,-18.95623055392804
0.049072265625,-23.76479892268616,-14.31887506026232,-18.964977013673565
0.04931640625,-24.443229212366404,-14.322634453888583,-18.974748970042988
0.049560546875,-25.251153443539515,-14.32599160748305,-18.985532283823684
0.0498046875,-26.216427311631158,-14.328943634505318,-18.997311156463443
0.050048828125,-27.38002969602938,-14.33148803061024,-19.010068184265315
0.05029296875,-28.804379149758162,-14.333622675451265,-19.02378441753492
0.050537109375,-30.58944278671012,-14.335345834345777,-19.038439424249592
0.05078125,-32.90557236943454,-14.33665615980601,-19.05401135779561
0.051025390625,-36.05408190110307,-14.337552692937983,-19.07047702830106
0.05126953125,-40.37346266577032,-14.33803486470987,-19.087811977079507
0.051513671875,-42.95795789279049,-14.338102497089967,-19.105990553691832
